DBN,School Name,School Pupil-Teacher Ratio
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,16.9
04M038,P.S. 38 ROBERTO CLEMENTE,9.9
04M037,RIVER EAST ELEMENTARY,11.4
05M036,P.S. 036 MARGARET DOUGLAS,12.1
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,10.9
02M033,P.S. 033 CHELSEA PREP,17.3
05M030,P.S. 030 HERNANDEZ/HUGHES,7.4
06M028,P.S. 028 WRIGHT BROTHERS,12
01M020,P.S. 020 ANNA SILVER,13.3
01M019,P.S. 019 ASHER LEVY,7
01M015,P.S. 015 ROBERTO CLEMENTE,9.2
02M011,P.S. 011 WILLIAM T. HARRIS,15
03M009,P.S. 009 SARAH ANDERSON,14.5
06M008,P.S. 008 LUIS BELLIARD,14
02M006,P.S. 006 LILLIE D. BLAKE,17.5
06M005,P.S. 005 ELLEN LURIE,13.1
06M004,P.S. 004 DUKE ELLINGTON,13.8
02M003,P.S. 003 CHARRETTE SCHOOL,15.6
02M002,P.S. 002 MEYER LONDON,11.7
02M001,P.S. 001 ALFRED E. SMITH,11.7
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",11.9
15K839,M.S. 839,13.9
17K770,P.S. 770 NEW AMERICAN ACADEMY,14.7
19K760,HIGHLAND PARK COMMUNITY SCHOOL,15.9
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,16
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,12.3
20K686,BROOKLYN SCHOOL OF INQUIRY,18.3
20K682,THE ACADEMY OF TALENTED SCHOLARS,6.9
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,12.2
15K676,RED HOOK NEIGHBORHOOD SCHOOL,13.7
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,16.7
16K628,BROOKLYN BROWNSTONE SCHOOL,16.2
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,19.8
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,19.8
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,12.8
17K532,NEW BRIDGES ELEMENTARY,11.7
15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,13.8
20K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,14.3
20K503,PS 503: THE SCHOOL OF DISCOVERY,12
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,13.7
15K418,THE CHILDREN'S SCHOOL,13.2
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,14.6
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,14.2
17K399,P.S. 399 STANLEY EUGENE CLARK,18.9
17K398,P.S. 398 WALTER WEAVER,12.9
17K397,P.S. 397 FOSTER-LAURIE,11.8
14K380,P.S. 380 JOHN WAYNE ELEMENTARY,12.8
32K376,P.S. 376,15
17K375,P.S. 375 JACKIE ROBINSON SCHOOL,12.5
22K361,P.S. 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL,14.4
19K346,P.S. 346 ABE STARK,12.9
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,16.3
16K335,P.S. 335 GRANVILLE T. WOODS,10.8
21K329,P.S. 329 SURFSIDE,14.4
19K328,P.S. 328 PHYLLIS WHEATLEY,12.3
22K326,P.S. 326,12.9
19K325,THE FRESH CREEK SCHOOL,15.9
15K321,P.S. 321 WILLIAM PENN,18.2
14K319,P.S. 319,12.9
17K316,P.S. 316 ELIJAH STROUD,10.6
22K315,P.S. K315,15.7
22K312,P.S. 312 BERGEN BEACH,16
20K310,THE SCHOOL FOR FUTURE LEADERS,13.9
16K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,8.9
16K308,P.S. 308 CLARA CARDWELL,11.6
13K307,P.S. 307 DANIEL HALE WILLIAMS,7.8
13K305,P.S. 305 DR. PETER RAY,13.4
32K299,P.S. 299 THOMAS WARREN FIELD,12.1
23K298,P.S. 298 DR. BETTY SHABAZZ,11.2
14K297,P.S. 297 ABRAHAM STOCKTON,12.5
15K295,P.S. 295,12.2
19K290,P.S. 290 JUAN MOREL CAMPOS,14
17K289,P.S. 289 GEORGE V. BROWER,12.7
21K288,P.S. 288 THE SHIRLEY TANYHILL,15.4
13K287,P.S. 287 BAILEY K. ASHFORD,13.4
18K279,P.S. 279 HERMAN SCHREIBER,13.7
22K277,P.S. 277 GERRITSEN BEACH,14.1
18K276,P.S. 276 LOUIS MARSHALL,16
32K274,P.S. 274 KOSCIUSKO,15.9
19K273,P.S. 273 WORTMAN,11.8
18K272,P.S. 272 CURTIS ESTABROOK,13
13K270,P.S. 270 JOHANN DEKALB,13.1
22K269,P.S. 269 NOSTRAND,16.9
18K268,P.S. 268 EMMA LAZARUS,17.7
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,14
15K261,P.S. 261 PHILIP LIVINGSTON,15.9
14K257,P.S. 257 JOHN F. HYLAN,16.3
13K256,P.S. 256 BENJAMIN BANNEKER,13.7
22K255,P.S. 255 BARBARA REING SCHOOL,13.4
22K254,P.S. 254 DAG HAMMARSKJOLD,18.9
21K253,P.S. 253,14.2
22K251,P.S. 251 PAERDEGAT,15.4
14K250,P.S. 250 GEORGE H. LINDSAY,16.5
17K249,P.S. 249 THE CATON,16.9
20K247,P.S. 247 BROOKLYN,13.9
22K245,P.S. 245,13.9
18K244,P.S. 244 RICHARD R. GREEN,10.4
16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,10.4
17K241,P.S. 241 EMMA L. JOHNSTON,14.5
22K236,P.S. 236 MILL BASIN,16.4
18K233,P.S. 233 LANGSTON HUGHES,14.2
15K230,P.S. 230 DORIS L. COHEN,13.6
19K224,P.S. 224 HALE A. WOODRUFF,16.2
22K222,P.S. 222 KATHERINE R. SNYDER,12.9
17K221,P.S. 221 TOUSSAINT L'OUVERTURE,15.8
18K219,P.S. 219 KENNEDY-KING,15.6
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,15.5
21K216,P.S. 216 ARTURO TOSCANINI,18.1
21K215,P.S. 215 MORRIS H. WEISS,15.8
19K214,P.S. 214 MICHAEL FRIEDSAM,15.1
19K213,P.S. 213 NEW LOTS,15
21K212,P.S. 212 LADY DEBORAH MOODY,13.5
18K208,P.S. 208 ELSA EBELING,18
20K205,P.S. 205 CLARION,16.4
20K204,P.S. 204 VINCE LOMBARDI,16.1
22K203,P.S. 203 FLOYD BENNETT SCHOOL,15.8
19K202,P.S. 202 ERNEST S. JENKYNS,14.5
20K200,P.S. 200 BENSON SCHOOL,17.3
21K199,P.S. 199 FREDERICK WACHTEL,10.9
22K198,P.S. 198 BROOKLYN,12.9
22K197,P.S. 197 - THE KINGS HIGHWAY ACADEMY,13.4
14K196,P.S. 196 TEN EYCK,12.6
22K195,P.S. 195 MANHATTAN BEACH,18.7
22K194,P.S. 194 RAOUL WALLENBERG,13.1
22K193,P.S. 193 GIL HODGES,15.4
17K191,P.S. 191 PAUL ROBESON,12.9
19K190,P.S. 190 SHEFFIELD,11.1
21K188,P.S. 188 MICHAEL E. BERDY,13.5
20K186,P.S. 186 DR. IRVING A GLADSTONE,16
20K185,P.S. 185 WALTER KASSENBROCK,17
20K179,P.S. 179 KENSINGTON,14.5
21K177,P.S. 177 THE MARLBORO,15.9
20K176,P.S. 176 OVINGTON,16.6
19K174,P.S. 174 DUMONT,9.3
15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,12.2
20K170,RALPH A. FABRIZIO SCHOOL,16.2
15K169,P.S. 169 SUNSET PARK,15.4
17K167,P.S. 167 THE PARKWAY,6.7
23K165,P.S. 165 IDA POSNER,9.5
20K164,P.S. 164 CAESAR RODNEY,13.9
17K161,P.S. 161 THE CROWN,14.6
20K160,P.S. 160 WILLIAM T. SAMPSON,14.8
19K159,P.S. 159 ISAAC PITKIN,16.3
19K158,P.S. 158 WARWICK,15.3
23K156,P.S. 156 WAVERLY,13.7
15K154,THE WINDSOR TERRACE SCHOOL,15.2
21K153,P.S. 153 HOMECREST,15.5
22K152,SCHOOL OF SCIENCE & TECHNOLOGY,14.6
32K151,P.S. 151 LYNDON B. JOHNSON,11.2
23K150,P.S. 150 CHRISTOPHER,13.8
19K149,P.S. 149 DANNY KAYE,19.2
14K147,P.S. 147 ISAAC REMSEN,12.7
15K146,P.S. 146,13.7
32K145,P.S. 145 ANDREW JACKSON,14.6
22K139,P.S. 139 ALEXINE A. FENTY,15.5
18K135,P.S. 135 SHELDON A. BROOKNER,17.2
22K134,P.S. K134,12.9
13K133,P.S. 133 WILLIAM A. BUTLER,16.8
14K132,P.S. 132 THE CONSELYEA SCHOOL,16.2
15K131,P.S. 131 BROOKLYN,14
15K130,P.S. 130 THE PARKSIDE,15.1
21K128,P.S. 128 BENSONHURST,13.3
20K127,P.S. 127 MCKINLEY PARK,14
15K124,P.S. 124 SILAS B. DUTCHER,13.6
32K123,P.S. 123 SUYDAM,13.8
14K120,P.S. 120 CARLOS TAPIA,14.9
22K119,P.S. 119 AMERSFORT,14.4
15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,28.5
32K116,P.S. 116 ELIZABETH L FARRELL,14.5
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,16.5
18K114,P.S. 114 RYDER ELEMENTARY,14.5
20K112,P.S. 112 LEFFERTS PARK,13.8
14K110,P.S. 110 THE MONITOR,15.9
19K108,P.S. 108 SAL ABBRACCIAMENTO,14.7
15K107,P.S. 107 JOHN W. KIMBALL,16
32K106,P.S. 106 EDWARD EVERETT HALE,14.5
20K105,P.S. 105 THE BLYTHEBOURNE,17.3
20K102,P.S. 102 THE BAYVIEW,16
21K101,P.S. 101 THE VERRAZANO,14.2
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,16.8
21K097,P.S. 97 THE HIGHLAWN,13.7
15K094,P.S. 094 THE HENRY LONGFELLOW,16.4
13K093,P.S. 093 WILLIAM H. PRESCOTT,16.2
17K092,P.S. 092 ADRIAN HEGEMAN,13.9
17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,13
21K090,P.S. 90 EDNA COHEN SCHOOL,14
32K086,P.S. 086 THE IRVINGTON,14.3
16K081,P.S. 081 THADDEUS STEVENS,11.5
32K075,P.S. 075 MAYDA CORTIELLA,14.4
23K073,P.S. 073 THOMAS S. BOYLAND,5.7
20K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,14.5
13K067,P.S. 067 CHARLES A. DORSEY,16.2
19K065,P.S. 065,16.6
14K059,P.S. 059 WILLIAM FLOYD,14
15K058,P.S. 058 THE CARROLL,16.4
13K056,P.S. 056 LEWIS H. LATIMER,11.8
13K054,P.S. 054 SAMUEL C. BARNES,10.2
22K052,P.S. 052 SHEEPSHEAD BAY,16.9
20K048,P.S. 048 MAPLETON,15.5
13K046,P.S. 046 EDWARD C. BLUM,10.9
13K044,P.S. 044 MARCUS GARVEY,14.2
16K040,P.S. 040 GEORGE W. CARVER,14.3
15K039,P.S. 039 HENRY BRISTOW,15.2
15K038,P.S. 038 THE PACIFIC,13.7
14K034,P.S. 034 OLIVER H. PERRY,15.8
15K032,P.S. 032 SAMUEL MILLS SPROLE,8.5
14K031,P.S. 031 SAMUEL F. DUPONT,15.8
15K029,P.S. 029 JOHN M. HARRIGAN,16.8
16K028,P.S. 028 THE WARREN PREP ACADEMY,10.2
16K026,P.S. 026 JESSE OWENS,11.5
16K025,P.S. 025 EUBIE BLAKE SCHOOL,6.9
15K024,P.S. 024,11.9
14K023,P.S. 023 CARTER G. WOODSON,11.2
16K021,P.S. 021 CRISPUS ATTUCKS,15.3
13K020,P.S. 020 CLINTON HILL,15.9
14K018,P.S. 018 EDWARD BUSH,12.1
14K017,P.S. 017 HENRY D. WOODWORTH,11
14K016,P.S. 016 LEONARD DUNKLY,13
15K015,P.S. 015 PATRICK F. DALY,9.4
19K013,P.S. 013 ROBERTO CLEMENTE,16.4
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,16.3
13K011,P.S. 011 PURVIS J. BEHAN,17.5
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",15
13K009,P.S. 009 TEUNIS G. BERGEN,19
19K007,P.S. 007 ABRAHAM LINCOLN,14.9
17K006,P.S. 006,14.7
16K005,P.S. 005 DR. RONALD MCNAIR,13.9
13K003,P.S. 003 THE BEDFORD VILLAGE,13.3
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,17.2
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,9.5
02M570,SATELLITE ACADEMY HIGH SCHOOL,16.9
04M497,CENTRAL PARK EAST I,13.9
06M513,CASTLE BRIDGE SCHOOL,11.8
07X381,BRONX HAVEN HIGH SCHOOL,12.2
08X537,BRONX ARENA HIGH SCHOOL,12.2
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,15.7
11X566,PELHAM GARDENS MIDDLE SCHOOL,13.2
08X562,BLUEPRINT MIDDLE SCHOOL,11.7
11X556,BRONX PARK MIDDLE SCHOOL,10.9
11X532,BAYCHESTER MIDDLE SCHOOL,12
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,9.4
11X498,PS/MS 11X498 - VAN NEST ACADEMY,16.1
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,16.7
08X467,MOTT HALL COMMUNITY SCHOOL,14.3
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),17.9
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,12.1
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,12
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,12.4
10X447,CRESTON ACADEMY,14.4
08X424,THE HUNTS POINT SCHOOL,10
10X391,THE ANGELO PATRI MIDDLE SCHOOL,11.6
10X390,M.S. 390,15.9
12X384,ENTRADA ACADEMY,12.8
12X383,EMOLIOR ACADEMY,15
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,12.7
08X371,URBAN INSTITUTE OF MATHEMATICS,14.9
08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,9.5
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,8.5
09X361,THE HIGHBRIDGE GREEN SCHOOL,12.1
11X355,BRONX ALLIANCE MIDDLE SCHOOL,11.5
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,17.2
12X341,ACCION ACADEMY,11.4
09X339,I.S. 339,9.1
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,15.7
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,12.2
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,12
11X326,BRONX GREEN MIDDLE SCHOOL,13.2
09X325,URBAN SCIENCE ACADEMY,12.1
09X323,BRONX WRITING ACADEMY,12.4
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",13.3
12X316,KAPPA III,15.6
10X315,P.S. 315 LAB SCHOOL,14.5
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,11.2
10X308,BRONX DANCE ACADEMY SCHOOL,13.7
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,12.7
08X302,M.S. 302 LUISA DESSUS CRUZ,12.5
08X301,M.S. 301 PAUL L. DUNBAR,11.3
07X298,ACADEMY OF PUBLIC RELATIONS,10.6
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,15.2
11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,12
11X287,THE FORWARD SCHOOL,17.9
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,13.7
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,14.4
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",14.9
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,12.7
11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,10.7
10X254,I.S. 254,14
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,14.9
09X232,I.S. 232,17.5
09X229,I.S. 229 ROLAND PATTERSON,8.9
10X228,JONAS BRONCK ACADEMY,13.8
07X224,P.S. / I.S. 224,14.6
09X219,I.S. 219 NEW VENTURE SCHOOL,11.2
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,14.9
12X217,SCHOOL OF PERFORMING ARTS,10.1
09X215,KAPPA,14.3
12X214,P.S. 214,15.5
12X212,P.S. 212,13.2
12X211,P.S. 211,14.2
10X206,I.S. 206 ANN MERSEREAU,12.5
11X194,PS/MS 194,15.1
12X190,E.S.M.T- I.S. 190,12
11X181,I.S. 181 PABLO CASALS,15.3
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,16.5
11X175,P.S. 175 CITY ISLAND,12.9
07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,10.8
07X151,J.H.S. 151 LOU GEHRIG,11.2
09X145,J.H.S. 145 ARTURO TOSCANINI,11.2
11X144,J.H.S. 144 MICHELANGELO,16.9
08X131,J.H.S. 131 ALBERT EINSTEIN,14
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,14.4
09X128,MOTT HALL III,16
11X127,J.H.S. 127 THE CASTLE HILL,15.5
08X125,J.H.S. 125 HENRY HUDSON,13.7
08X123,J.H.S. 123 JAMES M. KIERAN,12.1
10X118,J.H.S. 118 WILLIAM W. NILES,13.8
09X117,I.S. 117 JOSEPH H. WADE,12.7
08X101,M.S. X101 EDWARD R. BYRNE,14
12X098,J.H.S. 098 HERMAN RIDDER,10.1
10X095,P.S. 095 SHEILA MENCHER,15
11X089,P.S. 089 BRONX,16.7
10X086,P.S. 086 KINGSBRIDGE HEIGHTS,15.5
11X083,P.S. 083 DONALD HERTZ,15.3
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,12.2
08X071,P.S. 071 ROSE E. SCALA,14
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,14.3
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,14.9
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,13.9
07X029,P.S./M.S. 029 MELROSE SCHOOL,12.2
09X022,J.H.S. 022 JORDAN L. MOTT,9.4
10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",15
11X019,P.S. 019 JUDITH K. WEISS,16.2
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,17
07X005,PS 5 PORT MORRIS,14.5
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,12.4
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,15
31R075,I.S. 075 FRANK D. PAULO,14.4
31R072,I.S. 072 ROCCO LAURIE,14.7
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,15.1
31R061,I.S. 061 WILLIAM A MORRIS,14.9
31R051,I.S. 051 EDWIN MARKHAM,15.6
31R049,I.S. 49 BERTA A. DREYFUS,14.2
31R048,P.S. 048 WILLIAM G. WILCOX,16.1
31R034,I.S. 034 TOTTENVILLE,17.1
31R027,I.S. 027 ANNING S. PRALL,15.5
31R024,I.S. 024 MYRA S. BARNES,13.9
31R007,I.S. 007 ELIAS BERNSTEIN,16.3
31R002,I.S. R002 GEORGE L. EGBERT,14.5
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",18.7
28Q358,M.S. 358,12.7
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,12.8
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,13.9
27Q333,GOLDIE MAPLE ACADEMY,14.1
28Q332,REDWOOD MIDDLE SCHOOL,14.3
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,11.7
24Q311,CORONA ARTS AND SCIENCES ACADEMY,16.4
30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),18.2
27Q297,HAWTREE CREEK MIDDLE SCHOOL,12.3
29Q295,P.S./I.S. 295,16
25Q294,BELL ACADEMY,15
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,11.4
29Q289,QUEENS UNITED MIDDLE SCHOOL,14.7
28Q287,THE EMERSON SCHOOL,13.1
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,18.4
29Q270,THE GORDON PARKS SCHOOL,16.5
29Q268,PS/IS 268,14.4
26Q266,P.S. / I.S. 266,16.3
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,14.5
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,17.6
25Q237,I.S. 237,17.8
30Q235,ACADEMY FOR NEW AMERICANS,12.5
27Q232,P.S. 232 LINDENWOOD,16.5
30Q230,I.S. 230,16.3
30Q227,I.S. 227 LOUIS ARMSTRONG,16.7
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,19
25Q219,P.S. 219 PAUL KLAPPER,11.5
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,18.8
26Q216,J.H.S. 216 GEORGE J. RYAN,21.2
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,17.1
29Q208,P.S. / I.S. 208,14.7
27Q207,P.S. 207 ROCKWOOD PARK,10.1
30Q204,I.S. 204 OLIVER W. HOLMES,12.4
27Q202,J.H.S. 202 ROBERT H. GODDARD,18.3
25Q200,PS/MS 200 - THE POMONOK SCHOOL & STAR ACADEMY,14.1
25Q194,J.H.S. 194 WILLIAM CARR,17.3
29Q192,I.S. 192 THE LINDEN,15.8
28Q190,J.H.S. 190 RUSSELL SAGE,17
25Q189,J.H.S. 189 DANIEL CARTER BEARD,17.7
25Q185,J.H.S. 185 EDWARD BLEEKER,16.8
27Q183,P.S. 183 DR. RICHARD R. GREEN,13
26Q178,P.S./ IS 178 HOLLISWOOD,16.7
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,17.8
25Q164,P.S. 164 QUEENS VALLEY,14.1
26Q158,M.S. 158 MARIE CURIE,17.7
29Q147,PS/MS 147 RONALD MCNAIR,15.6
27Q146,P.S. 146 HOWARD BEACH,15
30Q145,I.S. 145 JOSEPH PULITZER,14.3
30Q141,I.S. 141 THE STEINWAY,17.1
29Q138,P.S./ M.S.138 SUNRISE,15.2
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,17.4
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",17.2
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNE,14.2
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,16.2
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,16.4
27Q124,P.S. 124 OSMOND A CHURCH,17.4
30Q122,P.S. 122 MAMIE FAY,19
24Q119,I.S. 119 THE GLENDALE,17.9
29Q116,PS/IS 116 WILLIAM C. HUGHLEY,13.7
27Q114,P.S. / M.S. 114 BELLE HARBOR,13.7
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,18
30Q111,P.S. 111 JACOB BLACKWELL,9.2
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,17.2
27Q105,P.S. 105 THE BAY SCHOOL,14.5
24Q102,P.S. 102 BAYVIEW,15.2
24Q093,I.S. 093 RIDGEWOOD,14.9
24Q087,P.S. / I.S. 087 MIDDLE VILLAGE,11.9
30Q084,P.S. 084 STEINWAY,11.1
30Q078,P.S./I.S. 78Q,15.3
24Q077,I.S. 077,13.3
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,18
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,15.9
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,12.8
26Q067,J.H.S. 067 LOUIS PASTEUR,21.3
24Q061,I.S. 061 LEONARDO DA VINCI,13.5
29Q059,I.S. 059 SPRINGFIELD GARDENS,17
27Q053,M.S. 053 BRIAN PICCOLO,12.9
