2009-2013 ACS Demographic Profile,,,NYC Census FactFinder,,
Selected Neighborhood: Midtown-Midtown South,,,,,
"Demographic Estimates
(Grayed values denote less reliable estimates*)",Number,,,Percent,
,Estimate,MOE,CV*,Estimate,MOE
SEX AND AGE,,,,,
Total population,"28,234","1,098",2.4,100.0%,
Male,"13,580",787,3.5,48.1%,2.1%
Female,"14,654",749,3.1,51.9%,1.7%
,,,,,
Under 5 years,952,227,14.5,3.4%,0.8%
5 to 9 years,357,112,19.2,1.3%,0.4%
10 to 14 years,367,137,22.8,1.3%,0.5%
15 to 19 years,"1,315",309,14.3,4.7%,1.1%
20 to 24 years,"3,119",485,9.4,11.0%,1.7%
25 to 34 years,"7,929",665,5.1,28.1%,2.1%
35 to 44 years,"4,264",509,7.3,15.1%,1.7%
45 to 54 years,"3,038",351,7.0,10.8%,1.2%
55 to 59 years,"1,855",291,9.5,6.6%,1.0%
60 to 64 years,"1,409",246,10.6,5.0%,0.8%
65 to 74 years,"2,152",330,9.3,7.6%,1.1%
75 to 84 years,"1,136",246,13.2,4.0%,0.9%
85 years and over,341,141,25.2,1.2%,0.5%
,,,,,
Median age (years),35.2,1.0,1.8,,
,,,,,
18 years and over,"26,379","1,029",2.4,100.0%,
Male,"12,887",755,3.6,48.9%,2.1%
Female,"13,492",703,3.2,51.1%,1.8%
,,,,,
65 years and over,"3,629",392,6.6,100.0%,
Male,"1,851",299,9.8,51.0%,6.1%
Female,"1,778",265,9.1,49.0%,5.0%
,,,,,
MUTUALLY EXCLUSIVE RACE/HISPANIC ORIGIN,,,,,
Total population,"28,234","1,098",2.4,100.0%,
Hispanic or Latino (of any race),"2,121",324,9.3,7.5%,1.1%
Mexican,214,126,35.7,0.8%,0.4%
Puerto Rican,526,156,18.1,1.9%,0.5%
Cuban,163,72,27.0,0.6%,0.3%
Other Hispanic or Latino,"1,218",262,13.1,4.3%,0.9%
Not Hispanic or Latino,"26,113","1,093",2.5,92.5%,1.4%
White alone,"18,678","1,065",3.5,66.2%,2.8%
Black or African American alone,"1,121",260,14.1,4.0%,0.9%
American Indian and Alaska Native alone,51,42,50.6,0.2%,0.2%
Asian alone,"5,460",616,6.9,19.3%,2.0%
Native Hawaiian and Other Pacific Islander alone,13,23,107.6,0.0%,
Some other race alone,188,185,59.9,0.7%,0.7%
Two or more races,602,180,18.2,2.1%,0.6%
,,,,,
ASIAN ALONE BY SELECTED SUBGROUPS,,,,,
Asian Alone,"5,494",614,6.8,100.0%,
Asian Indian,991,297,18.2,18.0%,5.0%
Chinese,"1,577",290,11.2,28.7%,4.2%
Filipino,181,104,34.9,3.3%,1.9%
Japanese,630,204,19.6,11.5%,3.5%
Korean,"1,609",453,17.1,29.3%,7.6%
Vietnamese,203,95,28.4,3.7%,1.7%
Other Asian,303,124,24.8,5.5%,2.2%
,,,,,
"*Data associated with estimates of zero, top- and bottom-coded estimates, or Coefficients of Variation (CVs) of 20% or more are grayed out to signify poor statistical reliability.
Sources: US Census Bureau, American Community Survey; Population Division â€” New York City Department of City Planning",,,,,
"For more information, see the ",User Guide,,,,